30/07/20223;335h343,1m3;3241,8°;313h324,1m3;3357,6°S;320h349,8m3;3113,7°;33;
31/07/20223;336h353,4m3;3249,5°;314h338,1m3;3352,7°S;321h337,5m3;3105,8°;33;




01/08/20223;338h333,7m3;3258,0°;314h350,9m3;3347,1°S;321h323,4m3;3397,3°;33;
02/08/20223;339h314,3m3;3267,0°;315h333,5m3;3341,2°S;321h338,5m3;3388,5°;33;
03/08/20223;310h326,3m3;3276,3°;316h316,9m3;3335,1°S;321h354,2m3;3379,5°;33;
04/08/20223;311h340,8m3;3285,6°;317h332,4m3;3329,1°S;322h311,7m3;3370,5°;33;
05/08/20223;312h358,8m3;3294,7°;317h351,3m3;3323,5°S;322h332,9m3;3362,0°;PQ;
06/08/20223;314h320,4m3;3303,1°;318h345,0m3;3318,7°S;323h330,5m3;3354,4°;33;
07/08/20223;315h343,2m3;3309,8°;319h343,8m3;3315,2°S;323h338,4m3;3348,7°;33;
08/08/20223;317h331,3m3;3313,7°;320h347,2m3;3313,3°S;33333333333;3333333;33;
09/08/20223;318h337,5m3;3313,9°;321h352,9m3;3313,6°S;330h331,2m3;3345,8°;33;
10/08/20223;318h358,1m3;3310,1°;322h357,6m3;3315,9°S;331h341,1m3;3346,9°;33;
11/08/20223;319h334,9m3;3303,4°;323h358,6m3;3320,1°S;333h334,3m3;3351,8°;33;
12/08/20223;320h332,1m3;3294,8°;33333333333;33333333;334h332,8m3;3359,6°;PL;
13/08/20223;320h323,4m3;3285,3°;330h354,9m3;3325,7°S;336h330,2m3;3369,0°;33;
14/08/20223;320h341,3m3;3275,6°;331h346,5m3;3332,0°S;337h323,6m3;3379,1°;33;
15/08/20223;320h357,8m3;3266,0°;332h334,7m3;3338,6°S;338h342,9m3;3389,2°;33;
16/08/20223;321h314,2m3;3256,8°;333h320,7m3;3345,0°S;339h359,1m3;3399,0°;33;
17/08/20223;321h331,9m3;3248,4°;334h335,8m3;3351,0°S;311h313,3m3;3108,1°;33;
18/08/20223;321h352,4m3;3240,9°;334h351,0m3;3356,4°S;312h326,0m3;3116,4°;33;
19/08/20223;322h317,2m3;3234,5°;335h337,3m3;3361,0°S;313h337,3m3;3123,4°;DQ;
20/08/20223;322h348,5m3;3229,8°;336h325,1m3;3364,5°S;314h345,6m3;3128,8°;33;
21/08/20223;323h328,4m3;3227,1°;337h314,4m3;3366,8°S;315h348,6m3;3132,3°;33;
22/08/20223;33333333333;3333333;338h335,0m3;3367,9°S;316h343,5m3;3133,3°;33;
23/08/20223;330h317,9m3;3226,8°;338h355,8m3;3367,6°S;317h328,9m3;3132,0°;33;
24/08/20223;331h316,7m3;3229,0°;339h345,9m3;3366,0°S;318h334,8m3;3128,3°;33;
25/08/20223;332h322,3m3;3233,3°;310h334,6m3;3363,1°S;318h333,0m3;3122,9°;33;
26/08/20223;333h331,8m3;3239,5°;311h321,3m3;3359,1°S;318h355,4m3;3116,1°;33;
27/08/20223;334h342,7m3;3246,9°;312h336,2m3;3354,3°S;319h314,0m3;3108,3°;NL;
28/08/20223;335h353,9m3;3255,3°;312h349,8m3;3348,8°S;319h330,3m3;3399,9°;33;
29/08/20223;337h335,3m3;3264,4°;313h332,7m3;3342,9°S;319h345,5m3;3391,0°;33;
30/08/20223;338h317,5m3;3273,7°;314h316,0m3;3336,7°S;320h330,8m3;3381,9°;33;
31/08/20223;339h331,5m3;3283,2°;315h330,8m3;3330,7°S;320h317,4m3;3372,9°;33;




01/09/20223;310h348,2m3;3292,4°;315h348,3m3;3324,9°S;320h336,9m3;3364,2°;33;
02/09/20223;312h338,0m3;3300,9°;316h339,5m3;3319,9°S;321h331,5m3;3356,3°;33;
03/09/20223;313h329,1m3;3308,1°;317h335,3m3;3316,0°S;321h334,6m3;3350,0°;PQ;
04/09/20223;314h347,4m3;3313,0°;318h335,4m3;3313,6°S;322h320,1m3;3346,1°;33;
05/09/20223;315h356,4m3;3314,6°;319h338,4m3;3313,0°S;323h321,5m3;3345,6°;33;
06/09/20223;316h351,2m3;3312,4°;320h341,7m3;3314,5°S;33333333333;3333333;33;
07/09/20223;317h332,0m3;3307,0°;321h342,8m3;3317,9°S;330h337,7m3;3349,0°;33;
